PERIODS_OF_10_YEARS,COLLECTED_WORKS,SEPARATE_PLAYS_OR_POEMS,ALTERED_PLAYS,SPURIOUS_PLAYS,COMMENTARIES,TOTAL_PUBLICATIONS
1591-1600,0,39,0,4,0,43
1601-1610,0,29,0,4,0,33
1611-1620,0,17,0,5,0,22
1621-1630,1,12,0,1,0,14
1631-1640,1,16,0,3,0,20
1641-1650,0,0,0,0,0,0
1651-1660,0,4,0,1,0,5
1661-1670,1,1,1,2,0,5
1671-1680,0,10,3,0,1,14
1681-1690,1,11,5,0,0,17
1691-1700,0,7,7,0,4,18
1701-1710,1,7,6,1,1,16
1711-1720,2,4,8,0,2,16
1721-1730,3,4,1,3,2,13
1731-1740,2,1,7,3,2,15
1741-1750,4,2,2,0,10,18
1751-1760,2,12,8,1,17,40
1761-1770,9,4,6,1,21,41
1771-1780,7,33,8,0,32,80
1781-1790,6,7,2,0,29,44
1791-1800,7,20,3,1,49,80
1801-1810,14,25,2,1,32,74
1811-1820,7,37,1,2,34,81
1821-1830,14,10,1,0,44,69